"t","QL","QB","QC","QLim","QBim","QCim","QLm","QBm","QCm","QLnetchange","QBnetchange","QCnetchange","RL","RB","RC","Ex","AcRL","AcRB","AcRC","AcEx","Total13C_theoretical"
0,5.54622140467407,1.50085736875325,0,0,0,0,5.54622140467407,1.50085736875325,0,0,0,0,0,0,0,0,0,0,0,0,7.04707877342732
1,3.02783147669117,1.1322019504784,0.120555252595768,0.0994669183754607,0.00376660715539502,0.00266312463599299,2.92836455831571,1.128435343323,0.117892127959775,-2.5183899279829,-0.36865541827485,0.0899538962702866,0.002362631,9.84e-05,6.29e-07,2.78753762277725,0.002362631,9.84e-05,6.29e-07,2.78753762277725,7.07058796254259
2,1.78201697546541,0.882030729602503,0.0744248215168748,0.181341986655092,0.00749311574907922,0.00530383095701092,1.60067498881031,0.874537613853423,0.0691209905598639,-1.24581450122577,-0.250171220875896,0.154330183746533,0.00098852,5.7e-05,0.000181996,1.50023677485754,0.003351151,0.000155375,0.000182625,4.28777439763479,7.02993607521957
3,1.16572886447081,0.71226341668083,0.0651738956806398,0.2487365226001,0.0111799526624832,0.00792230768153868,0.916992341870706,0.701083464018347,0.0572515879991011,-0.6162881109946,-0.169767312921673,0.200401633245195,0.000470775,3.79e-05,5.99e-05,0.807418835263125,0.003821926,0.000193324,0.000242557,5.09519323289792,7.04261721673019
4,0.860859210618172,0.597058556442559,0.0561105515403058,0.304211572217531,0.0148275402325417,0.0105187419394196,0.556647638400641,0.582231016210018,0.0455918096008862,-0.304869653852634,-0.11520486023827,0.233373066394255,0.000325787,3.56e-05,0.000311911,0.434548190301205,0.004147712,0.000228895,0.000554468,5.52974142319912,7.04870081680016
5,0.710044187283997,0.518880021398873,0.0512796022474237,0.349875231546939,0.0184362963000729,0.0130933192852287,0.360168955737058,0.5004437250988,0.038186282962195,-0.150815023334175,-0.078178535043686,0.256969359016533,0.000162718,2.39e-05,0.00057905,0.233871345882729,0.00431043,0.000252807,0.001133517,5.76361276908185,7.04951333401214
6,0.635437971231146,0.465827716757072,0.0486341368986841,0.387462755987783,0.0220066342576438,0.0156462237115335,0.247975215243363,0.443821082499428,0.0329879131871506,-0.0746062160528516,-0.0530523046418014,0.273856250860118,5.88e-05,1.19e-05,0.00080702,0.125868218176417,0.004369245,0.00026472,0.001940537,5.88948098725827,7.04595531414517
7,0.598531253646443,0.429826184799051,0.0475784582516972,0.418402501385743,0.0255389630969251,0.0181776376620428,0.1801287522607,0.404287221702126,0.0294008205896544,-0.0369067175847028,-0.0360015319580204,0.285941501738373,2.49e-05,6.97e-06,0.000532472,0.0677415537466066,0.004394108,0.000271689,0.002473009,5.95722254100487,7.04029724370206
8,0.580273984012072,0.405395383685406,0.0475770389615391,0.443870202691721,0.0290336874555421,0.0206877420446454,0.136403781320351,0.376361696229864,0.0268892969168937,-0.0182572696343707,-0.0244308011136454,0.294590416538277,1.29e-05,4.94e-06,0.0004362,0.0364581160398449,0.004407008,0.000276633,0.002909209,5.99368065704472,7.03451991370374
9,0.571242351932164,0.388816532436785,0.0482882584572896,0.464833652825777,0.0324912076634273,0.0231767162443385,0.106408699106387,0.356325324773358,0.0251115422129511,-0.00903163207990787,-0.016578851248621,0.300780087565346,5.17e-06,2.75e-06,0.000219148,0.0196215491328537,0.004412177,0.00027938,0.003128356,6.01330220617757,7.02946926200381
10,0.566774521875403,0.377566049595664,0.049476739604664,0.482089479578383,0.0359119197886795,0.0256447381360474,0.0846850422970206,0.341654129806985,0.0238320014686166,-0.00446783005676077,-0.0112504828411207,0.305209779417989,2.67e-06,1.95e-06,3.23e-05,0.0105602053038663,0.004414844,0.000281328,0.00316066,6.02386241148144,7.02553655455717
11,0.564564344884193,0.369931421462495,0.0509833976441972,0.496293418100516,0.0392962156829336,0.0280919840973377,0.0682709267836768,0.330635205779561,0.0228914135468595,-0.00221017699121084,-0.0076346281331694,0.308379926881975,1.68e-06,1.66e-06,3.78e-05,0.00568344198028115,0.004416521,0.000282989,0.003198503,6.02954585346172,7.0229230304526
12,0.563470999284557,0.364750528557282,0.0527002252080544,0.507985229361316,0.0426444830262493,0.0305186290210197,0.0554857699232415,0.322106045531033,0.0221815961870347,-0.00109334559963514,-0.00518089290521284,0.310648670460024,8.6e-07,1.17e-06,0.000160481,0.00305879590535962,0.004417381,0.000284163,0.003358984,6.03260464936708,7.02158693041697
13,0.56293013554152,0.361234751386857,0.0545539908885283,0.517609211494523,0.04595710537152,0.0329248463276475,0.0453209240469968,0.315277646015337,0.0216291445608808,-0.000540863743037745,-0.00351577717042539,0.312272316514793,4.59e-07,8.57e-07,0.00045516,0.00164622642812429,0.00441784,0.00028502,0.003814143,6.0342508757952,7.02148675661211
14,0.562662577334279,0.35884892922488,0.0564950429900222,0.525531083481186,0.0492344621884102,0.0353108079779124,0.0371314938530936,0.30961446703647,0.0211842350121099,-0.000267558207240337,-0.0023858221619768,0.313434292921767,1.9e-07,4.88e-07,0.000237508,0.000885989630070583,0.004418031,0.000285508,0.004051651,6.03513686542527,7.02189860497446
15,0.562530219794727,0.35722989960137,0.0584897338963927,0.53205188276203,0.0524769289068248,0.0376766844849319,0.0304783370326962,0.304752970694545,0.0208130494114607,-0.000132357539552763,-0.00161902962351013,0.314265871433845,1e-07,3.55e-07,0.000127197,0.000476834541824012,0.004418131,0.000285863,0.004178848,6.0356136999671,7.02274639525959
16,0.562464744254069,0.356131218834807,0.0605152755421795,0.537419404899809,0.0556848769599156,0.040022644926436,0.0250453393542598,0.300446341874891,0.0204926306157435,-6.54755406576113e-05,-0.00109868076656289,0.314860997821608,5.04e-08,2.44e-07,0.000494596,0.000256629617954474,0.004418181,0.000286107,0.004673444,6.03587032958505,7.02435930021611
17,0.562432354361972,0.355385649137201,0.0625562489233479,0.541837620007914,0.0588586738266295,0.0423488569568496,0.0205947343540578,0.296526975310572,0.0202073919664983,-3.23898920974175e-05,-0.000745569697605697,0.31528690519207,2.47e-08,1.63e-07,0.000814753,0.000138116589791792,0.004418206,0.00028627,0.005488197,6.03600844617484,7.02657537159737
18,0.562416331506726,0.354879702195282,0.0646022353378193,0.545474423777029,0.0619986830738049,0.0446554868192747,0.0169419077296968,0.292881019121477,0.0199467485185447,-1.6022855245712e-05,-0.000505946941919189,0.315591709502456,1.05e-08,9.52e-08,0.001154098,7.43335571611325e-05,0.004418217,0.000286365,0.006642295,6.03608277973201,7.02932792577183
19,0.562408405210169,0.35453636433048,0.0666462089541961,0.548468017645012,0.0651052643978187,0.0469426993573703,0.0139403875651567,0.289431099932661,0.0197035095968258,-7.92629655721466e-06,-0.000343337864802562,0.315809845355631,5.47e-09,6.84e-08,0.001220055,4.00058945029258e-05,0.004418222,0.000286433,0.007862349,6.03612278562651,7.03228076812135
20,0.562404484175113,0.354303373714981,0.0686834460017652,0.550932160561528,0.0681787736657908,0.0492106580271337,0.0114723236135845,0.286124600049191,0.0194727879746315,-3.92103505597596e-06,-0.00023299061549803,0.315965956174341,2.84e-09,4.86e-08,0.001892727,2.15309431714772e-05,0.004418225,0.000286482,0.009755076,6.03614431656968,7.03599540346154
21,0.562402544490444,0.354145265237953,0.0707107845452127,0.552960491918683,0.0712195629563491,0.0514595249085812,0.00944205257176101,0.282925702281604,0.0192512596366314,-1.93968466843941e-06,-0.000158108477028629,0.3160776782382,1.24e-09,2.93e-08,0.002448917,1.15878302340278e-05,0.004418226,0.000286511,0.012203993,6.03615590439991,7.04032322867352
22,0.562401584953853,0.354037972116061,0.0727261221671437,0.554630089922453,0.0742279805999619,0.0536894607173317,0.00777149503139973,0.279809991516099,0.019036661449812,-9.59536591627064e-07,-0.000107293121891838,0.316157633103954,5.71e-10,1.82e-08,0.002397205,6.23650382891583e-06,0.004418227,0.000286529,0.014601198,6.03616214090374,7.0446337741408
