"t","QL","QB","QC","QLim","QBim","QCim","QLm","QBm","QCm","QLnetchange","QBnetchange","QCnetchange","RL","RB","RC","Ex","AcRL","AcRB","AcRC","AcEx","Total13C_theoretical"
0,10.3307117666669,2.92849210476234,0,0,0,0,10.3307117666669,2.92849210476234,0,0,0,0,0,0,0,0,0,0,0,0,13.2592038714293
1,2.76353256492813,1.94503600959943,0.00870709220359565,0.0056240886059328,0.00298098325335304,0.00245623702023102,2.7579084763222,1.94205502634608,0.00625085518336464,-7.56717920173882,-0.98345609516291,0.0489020717532127,0.002172291,0.000173949,0.000355549,8.33290570730214,0.002172291,0.000173949,0.000355549,8.33290570730214,13.0528831630333
2,1.0578035971659,1.32906070954699,0.00888141049486297,0.0111918375470425,0.00593200166187476,0.00487050805811529,1.04661175961886,1.32312870788512,0.00401090243674768,-1.70572896776223,-0.615975300052437,0.0811695816915243,0.000703296,0.000150867,0.001555883,2.68698220399396,0.002875587,0.000324816,0.001911432,11.0198879112961,13.4207454635039
3,0.673312727596616,0.943252362696659,0.00998150041451855,0.0167038112094997,0.00885335643219714,0.00724353012250002,0.656608916387116,0.934399006264462,0.00273797029201853,-0.384490869569289,-0.385808346850336,0.1024609536169,0.00016859,9.51015e-05,0.002143734,0.866429264674558,0.003044177,0.000419917,0.004055165,11.8863171759707,13.5203830256785
4,0.586644076494271,0.701606179015725,0.0115116069321863,0.0221605683257011,0.011745345743223,0.00957600797179388,0.564483508168569,0.689860833272502,0.00193559896039246,-0.086668651102345,-0.241646183680933,0.116509838062316,2.73349e-05,4.35361e-05,0.002208278,0.279383938445386,0.003071512,0.000463453,0.006263444,12.165701114416,13.4752613858582
5,0.567107968673779,0.550254144866471,0.0132995201670374,0.0275626620309057,0.0146082647765606,0.0118686343232716,0.539545306642873,0.53564588008991,0.0014308858437658,-0.0195361078204913,-0.151352034149254,0.12577984446925,5.13044e-06,2.33328e-05,0.001599477,0.090088583388944,0.003076643,0.000486786,0.00786292,12.255789697805,13.3978776805123
6,0.562704305943144,0.455456710484624,0.0152346570728531,0.0329106399193052,0.0174424057466528,0.0141220900588025,0.529793666023838,0.438014304737971,0.00111256701405063,-0.00440366273063553,-0.094797434381847,0.13189655922468,1.22651e-06,1.53309e-05,0.001529655,0.0290494611185856,0.003077869,0.000502117,0.009392576,12.2848391589236,13.3312073944242
7,0.561711669865201,0.396081535146587,0.0172480617441088,0.0382050440995316,0.0202480579306026,0.0163370444270641,0.52350662576567,0.375833477215984,0.000911017317044725,-0.000992636077942199,-0.0593751753380374,0.135932608150311,2.18831e-07,7.81572e-06,0.000837415,0.00936712688262453,0.003078088,0.000509933,0.010229991,12.2942062858062,13.2830655645621
8,0.561487918310302,0.358892644229748,0.0192967815650101,0.0434464112496092,0.0230255076976994,0.0185141552423005,0.518041507060693,0.335867136532049,0.000782626322709609,-0.000223751554899509,-0.0371888909168387,0.138595751942593,5.13491e-08,5.11497e-06,0.000277289,0.00302047138420392,0.00307814,0.000515048,0.01050728,12.2972267571904,13.2510045692955
9,0.561437482143984,0.335599852254807,0.0213541480786248,0.0486352726713562,0.0257750385386485,0.0206540690796857,0.512802209472628,0.309824813716159,0.000700078998939108,-5.04361663175024e-05,-0.0232927919749406,0.140352998940599,1.5039e-08,4.04779e-06,0.000518339,0.000973964321943299,0.003078155,0.000519096,0.011025619,12.2982007215123,13.2312150739898
